id,parent_id,name,slug,description,icon_emoji,service_count,is_popular,display_order,created_at
custom-chatbot-gpt-it,ai-it,맞춤형 챗봇·GPT,custom-chatbot-gpt-it,,,0,true,1,2025-10-24 05:42:09.720473+00
custom-goods,handmade-craft,맞춤 제작,custom-goods,,,0,false,0,2025-10-24 05:42:09.720473+00
custom-order,,주문제작,custom-order,맞춤형 주문 제작 서비스,hammer,13,false,19,2025-10-24 05:42:09.720473+00
custom-order-etc,custom-order,기타,custom-order-etc,,,0,false,3,2025-10-24 05:42:09.720473+00
cv-resume,business-documents,이력서/자소서,cv-resume,,,0,true,4,2025-10-24 05:42:09.720473+00
daily-service,life-service,일상 서비스,daily-service,,,0,false,1,2025-10-24 05:42:09.720473+00
data,it-programming,데이터,data,,,0,false,7,2025-10-24 05:42:09.720473+00
data-entry,business-support,데이터 입력,data-entry,,,0,false,1,2025-10-24 05:42:09.720473+00
data-labeling,data,데이터 라벨링,data-labeling,,,0,false,1,2025-10-24 05:42:09.720473+00
data-ml-dl,job-position,데이터·ML·DL,data-ml-dl,,,0,false,4,2025-10-24 05:42:09.720473+00
data-performance-analysis,analysis-strategy,데이터 성과 분석,data-performance-analysis,,,0,false,2,2025-10-24 05:42:09.720473+00
data-preprocessing-analysis-visualization,data,데이터 전처리·분석·시각화,data-preprocessing-analysis-visualization,,,0,true,2,2025-10-24 05:42:09.720473+00
data-purchase-construction,data,데이터 구매·구축,data-purchase-construction,,,0,false,0,2025-10-24 05:42:09.720473+00
data-research,thesis-research,자료 조사,data-research,,,0,false,3,2025-10-24 05:42:09.720473+00
database,data,데이터베이스,database,,,0,false,3,2025-10-24 05:42:09.720473+00
db-marketing,industry-purpose,DB 마케팅,db-marketing,,,0,false,7,2025-10-24 05:42:09.720473+00
delivery-service,errands,배달 서비스,delivery-service,,,0,false,0,2025-10-24 05:42:09.720473+00
design,,디자인,design,창의적인 디자인 솔루션,palette,58,false,95,2025-10-24 05:42:09.720473+00
design-etc,design,기타,design-etc,,,0,false,14,2025-10-24 05:42:09.720473+00
design-template,design-etc,디자인 템플릿,design-template,,,0,false,1,2025-10-24 05:42:09.720473+00
designated-driver,vehicle-service,대리 운전,designated-driver,,,0,false,2,2025-10-24 05:42:09.720473+00
designer-subscription,design-etc,디자이너 구독제,designer-subscription,,,0,false,0,2025-10-24 05:42:09.720473+00
detail-page,marketing-design,상세페이지,detail-page,,,0,true,0,2025-10-24 05:42:09.720473+00
devops-infra,job-position,데브옵스·인프라,devops-infra,,,0,false,5,2025-10-24 05:42:09.720473+00
diet-consulting,health-wellness,다이어트 상담,diet-consulting,,,0,false,1,2025-10-24 05:42:09.720473+00
disinfection-service,home-service,소독 서비스,disinfection-service,,,0,false,6,2025-10-24 05:42:09.720473+00
display-video-banner,performance-ads,디스플레이·영상·배너,display-video-banner,,,0,false,2,2025-10-24 05:42:09.720473+00
dj-service,event-services,DJ 서비스,dj-service,,,0,false,2,2025-10-24 05:42:09.720473+00
document-delivery,delivery-service,서류 배달,document-delivery,,,0,false,1,2025-10-24 05:42:09.720473+00
document-editing,typing-editing,문서 편집,document-editing,,,0,false,2,2025-10-24 05:42:09.720473+00
document-materials,writing-etc,문서 자료,document-materials,,,0,false,1,2025-10-24 05:42:09.720473+00
document-translation,translation,번역,document-translation,,,0,false,0,2025-10-24 05:42:09.720473+00
domestic-patent-trademark,intellectual-property,국내 특허·상표,domestic-patent-trademark,,,0,true,0,2025-10-24 05:42:09.720473+00
drawing-creation-modification,space-architecture,도면 제작·수정,drawing-creation-modification,,,0,false,0,2025-10-24 05:42:09.720473+00
drone-filming,video,드론 촬영,drone-filming,,,0,false,8,2025-10-24 05:42:09.720473+00
dubbing,media-translation,더빙,dubbing,,,0,false,1,2025-10-24 05:42:09.720473+00
ebook,ebook-template,전자책,ebook,,,0,false,0,2025-10-24 05:42:09.720473+00
ebook-cover-interior,package-cover,전자책 표지·내지,ebook-cover-interior,,,0,false,2,2025-10-24 05:42:09.720473+00
ebook-creation,ebook,전자책 제작,ebook-creation,,,0,false,0,2025-10-24 05:42:09.720473+00
ebook-publishing,ebook,전자책 출판,ebook-publishing,,,0,false,1,2025-10-24 05:42:09.720473+00
ebook-template,,전자책/템플릿,ebook-template,전자책과 각종 템플릿,book-open,15,false,17,2025-10-24 05:42:09.720473+00
educational-video,video,교육 영상,educational-video,,,0,false,4,2025-10-24 05:42:09.720473+00
emoticon,character-illustration,이모티콘,emoticon,,,0,false,4,2025-10-24 05:42:09.720473+00
employer-labor-consulting,labor-service,고용인 노무 상담,employer-labor-consulting,,,0,true,0,2025-10-24 05:42:09.720473+00
employment-contract-consulting,labor-service,근로계약서 상담,employment-contract-consulting,,,0,false,2,2025-10-24 05:42:09.720473+00
